max x,max y,max z,min x,min y,min z,mean x,mean y,mean z,std x,std y,std z,max diff x,max diff y,max diff z,max E,min E,mean E,std E,class,hand
0.1875,-0.15625,0.84375,-0.828125,-1.515625,-0.4375,-0.3275390625,-0.83828125,0.126171875,0.1634437502938606,0.2997507399369804,0.23961676431371198,0.328125,0.203125,0.421875,1.5236578366303244,0.5738864897564674,0.9722281690677615,0.23220507467251975,bendingDown,leftHand
0.953125,1.203125,1.328125,-1.53125,-1.53125,0.03125,-0.3849283854166667,0.12646484375,0.7197265625,0.5083751679903413,0.5096926385162012,0.24222927801798003,1.40625,1.875,0.75,2.094973989247838,0.7067614298686651,1.098422091390648,0.2168542773304727,bendingDown,leftHand
0.046875,1.984375,0.828125,-1.328125,-0.0625,-0.296875,-0.53515625,0.776171875,0.20966796875,0.22719951516980894,0.44502509552011643,0.21260223356854077,0.625,0.53125,0.5,2.234429632199233,0.3329261836353518,1.0596183939325752,0.3219879386973539,bendingDown,leftHand
-0.09375,1.453125,0.90625,-1.640625,-0.3125,-0.25,-0.530078125,0.665234375,0.27490234375,0.2931119605426038,0.41894968339290556,0.2064376474725494,0.984375,0.359375,0.78125,1.6789424219579419,0.5638005797708974,1.0153112293653015,0.2661321316987409,bendingDown,leftHand
0.21875,1.578125,0.90625,-1.265625,-0.171875,-0.625,-0.421484375,0.70859375,0.136328125,0.25634962925547267,0.45304603790419784,0.3597441790512283,0.515625,0.953125,0.578125,1.7993868313261603,0.6601446929461753,1.0275779629663904,0.20138489596584883,bendingDown,leftHand
-0.015625,1.46875,0.46875,-0.578125,0.421875,-0.265625,-0.31240234375,0.9392578125,0.10830078125,0.1002480842441865,0.2186024568404806,0.16642500913876687,0.46875,0.453125,0.546875,1.5242185497821499,0.5146771591250189,1.0153289387249864,0.21429674799894644,bendingDown,leftHand
0.15625,1.5625,0.78125,-0.984375,0.109375,-0.375,-0.36953125,0.8888671875,0.0544921875,0.21136890284434615,0.29320853002077857,0.25244473081499236,0.84375,0.5625,0.578125,1.7479759500276313,0.6905118685620111,1.041148889679806,0.197539976516358,bendingDown,leftHand
-0.125,1.4375,0.796875,-1.234375,-0.21875,-0.296875,-0.43095703125,0.8236328125,0.12783203125,0.21733080649331965,0.37422280696747856,0.1968785242506141,0.453125,0.3125,0.34375,1.6430042272085,0.5111071010561289,1.0256857862062758,0.2310021534437235,bendingDown,leftHand
-0.046875,1.46875,0.75,-0.953125,-0.390625,-0.5,-0.4556640625,0.7076171875,0.13125,0.2038146515417323,0.5316873763157721,0.2796029691574021,0.78125,0.375,0.671875,1.70884932502108,0.6394806853025351,1.0399515730134414,0.21035758294436072,bendingDown,leftHand
0.140625,1.5,0.96875,-1.421875,-0.046875,-0.421875,-0.383203125,0.80048828125,0.07822265625,0.25124340699366227,0.27367519360602954,0.3444795399351574,0.8125,0.4375,1.09375,1.581293230634344,0.5486578083149825,1.0066289677899278,0.1890758623328576,bendingDown,leftHand
